Onset,Annotation
+0.0000000,Marker:Markon: w
+29.8050043,Marker:Markoff: w
+30.1846419,Marker:Markon: w
+59.8050043,Marker:Markoff: w
+60.1846419,Marker:Markon: w
+89.7515099,Marker:Markoff: w
+90.2170000,Marker:Markon: w
+119.8030000,Marker:Markoff: w
+120.2170000,Marker:Markon: w
+149.7340000,Marker:Markoff: w
+150.2510000,Marker:Markon: w
+179.7490000,Marker:Markoff: w
+180.2670000,Marker:Markon: w
+209.8032786,Marker:Markoff: w
+210.2346850,Marker:Markon: 1
+239.7860224,Marker:Markoff: 1
+240.2174288,Marker:Markon: 1
+269.7670405,Marker:Markoff: 1
+270.2710000,Marker:Markon: 1
+299.7860224,Marker:Markoff: 1
+300.2346850,Marker:Markon: 1
+329.7497842,Marker:Markoff: 1
+330.2157031,Marker:Markon: 1
+359.7842968,Marker:Markoff: 1
+360.2502157,Marker:Markon: 1
+368.5418463,spindle
+380.7204486,k-complex
+389.7490000,Marker:Markoff: 1
+390.1980000,Marker:Markon: 1
+419.7490000,Marker:Markoff: 1
+420.1980000,Marker:Markon: 1
+431.2769628,spindle
+443.9999999,spindle
+447.6238135,spindle
+449.7490000,Marker:Markoff: 1
+450.2590000,Marker:Markon: 2
+454.4486626,spindle
+458.8741855,spindle
+479.7490000,Marker:Markoff: 2
+480.2590000,Marker:Markon: 2
+486.4910966,spindle
+489.8215539,spindle
+500.0614158,spindle
+506.9414849,spindle
+509.7490000,Marker:Markoff: 2
+510.2590000,Marker:Markon: 2
+539.7490000,Marker:Markoff: 2
+540.2590000,Marker:Markon: 2
+569.7490000,Marker:Markoff: 2
+570.2590000,Marker:Markon: 2
+576.8379473,spindle
+591.0950655,spindle
+595.5592588,spindle
+599.7490000,Marker:Markoff: 2
+600.2590000,Marker:Markon: 2
+602.5590000,spindle
+612.0579646,k-complex
+629.7490000,Marker:Markoff: 2
+630.2590000,Marker:Markon: 2
+659.7490000,Marker:Markoff: 2
+660.2590000,Marker:Markon: 2
+680.9742717,spindle
+689.7490000,Marker:Markoff: 2
+690.2590000,Marker:Markon: 2
+718.1459715,k-complex
+719.7490000,Marker:Markoff: 2
+720.2590000,Marker:Markon: 2
